Sample data from Morgantown Zillow Sales,,,,,,,,,,,,,,,,,,,,
Created 11/1/23 by NDG using Zillow Data Explorer,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Property URL,MLS ID,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Broker name,Broker agent,Street address,City,Zip,State,Country,id,longitude,latitude
https://www.zillow.com/homedetails/52-Trope-Hill-Rd-Osage-WV-26543/304084079_zpid/,,106000,9/22/2022,1908,sqft,55.56,6534,sqft,2,1,,,52 Trope Hill Rd,Osage,26543,WV,USA,86,,
https://www.zillow.com/homedetails/11-Willow-Ln-Morgantown-WV-26505/22890455_zpid/,,175000,9/13/2022,1356,sqft,129.06,0.37,acres,2,2,,,11 Willow Ln,Morgantown,26505,WV,USA,87,-79.953150281059,39.653466884705
https://www.zillow.com/homedetails/465-Crawford-Ave-Morgantown-WV-26505/22902841_zpid/,,125000,8/31/2022,1152,sqft,108.51,0.38,acres,2,1.5,,,465 Crawford Ave,Morgantown,26505,WV,USA,88,-79.986683375516,39.660345663974
https://www.zillow.com/homedetails/1339-Riddle-Ave-Morgantown-WV-26505/89449959_zpid/,,200000,8/10/2022,1184,sqft,168.92,757,sqft,2,2.5,,,1339 Riddle Ave,Morgantown,26505,WV,USA,89,,
https://www.zillow.com/homedetails/381-Laurel-St-Morgantown-WV-26505/22901472_zpid/,,250000,7/12/2022,1058,sqft,236.29,1.64,acres,2,1,,,381 Laurel St,Morgantown,26505,WV,USA,90,-79.973186843264,39.653868147554
https://www.zillow.com/homedetails/1338-Headlee-Ave-Morgantown-WV-26505/122065325_zpid/,,175000,7/8/2022,1152,sqft,151.91,845,sqft,2,2.5,,,1338 Headlee Ave,Morgantown,26505,WV,USA,91,-79.953368925058,39.663712474595
https://www.zillow.com/homedetails/416-Herman-Ave-Morgantown-WV-26505/22902994_zpid/,,140000,4/25/2022,906,sqft,154.53,0.92,acres,2,1,,,416 Herman Ave,Morgantown,26505,WV,USA,92,-79.984416485008,39.658500899769
https://www.zillow.com/homedetails/3325-Oakwood-St-Morgantown-WV-26505/22901124_zpid/,,295000,,2030,sqft,145.32,9293,sqft,2,2,,,3325 Oakwood St,Morgantown,26505,WV,USA,93,-79.973152281062,39.660744446008
https://www.zillow.com/homedetails/1234-Van-Voorhis-Rd-Morgantown-WV-26505/22890064_zpid/,,139000,4/6/2022,1320,sqft,105.3,0.54,acres,2,1.5,,,1234 Van Voorhis Rd,Morgantown,26505,WV,USA,94,-79.963165068585,39.661650878188
https://www.zillow.com/homedetails/338-Jacobs-Dr-Morgantown-WV-26505/22901379_zpid/,,285000,4/1/2022,1512,sqft,188.49,0.43,acres,2,3,,,338 Jacobs Dr,Morgantown,26505,WV,USA,95,-79.978745607706,39.65568727272
https://www.zillow.com/homedetails/9-Regency-Ct-Morgantown-WV-26505/22890815_zpid/,,205000,3/14/2022,1324,sqft,154.83,0.34,acres,2,2.5,,,9 Regency Ct,Morgantown,26505,WV,USA,96,-79.946650132887,39.652170346769
https://www.zillow.com/homedetails/365-N-Parkview-Dr-Morgantown-WV-26505/22889870_zpid/,,65000,3/2/2022,690,sqft,94.2,1.16,acres,2,1,,,365 N Parkview Dr,Morgantown,26505,WV,USA,97,-79.980208259692,39.655508634568
https://www.zillow.com/homedetails/1208-Cambridge-Ave-Morgantown-WV-26505/22901330_zpid/,,223000,2/18/2022,1295,sqft,172.2,9104,sqft,2,2,,,1208 Cambridge Ave,Morgantown,26505,WV,USA,98,-79.975114195016,39.654580768275
https://www.zillow.com/homedetails/1364-Fenwick-Ave-Morgantown-WV-26505/22903075_zpid/,,189000,2/18/2022,700,sqft,270,4000,sqft,2,1,,,1364 Fenwick Ave,Morgantown,26505,WV,USA,99,-79.980003260251,39.660734363454
https://www.zillow.com/homedetails/30-French-Quarters-Dr-Morgantown-WV-26505/250743099_zpid/,,319900,2/11/2022,1341,sqft,238.55,8415,sqft,2,2,,,30 French Quarters Dr,Morgantown,26505,WV,USA,100,-79.970261403631,39.658507695132
https://www.zillow.com/homedetails/3254-Collins-Ferry-Rd-Morgantown-WV-26505/208917932_zpid/,,165000,2/9/2022,1668,sqft,98.92,1.15,acres,2,2,,,3254 Collins Ferry Rd,Morgantown,26505,WV,USA,101,-79.972150707133,39.658419256794
https://www.zillow.com/homedetails/30-French-Quarter-Dr-Morgantown-WV-26505/2072167458_zpid/,,319900,2/9/2022,1308,sqft,244.57,8415.79,sqft,2,2,,,30 French Quarter Dr,Morgantown,26505,WV,USA,102,-79.970261403631,39.658507695132
https://www.zillow.com/homedetails/428-Lawnview-Dr-Morgantown-WV-26505/22901917_zpid/,,210000,12/28/2021,1711,sqft,122.74,7274.52,sqft,2,2,,,428 Lawnview Dr,Morgantown,26505,WV,USA,103,-79.981286455797,39.667123669863
https://www.zillow.com/homedetails/8-Silver-View-Ct-Morgantown-WV-26505/69800267_zpid/,,200000,12/6/2021,1200,sqft,166.67,1202,sqft,2,2.5,,,8 Silver View Ct,Morgantown,26505,WV,USA,104,-79.953211913982,39.653080245622
https://www.zillow.com/homedetails/3493-University-Ave-Morgantown-WV-26505/22902825_zpid/,,600000,11/29/2021,980,sqft,612.24,2.75,acres,2,1,,,3493 University Ave,Morgantown,26505,WV,USA,105,-79.9877995616,39.658757893907
